"","Sport_ID","School_ID","Graduation_Year","Player","URL","player_imageurl","ID_Race","Position","Hometown","Height_Inches","Weight","Height_Numeric","High_School","CIP_Family","CIP_ID","CIPFamilyTitle","CIP_Code","CIPTitle","Stated_Major","Actual_Major","Aspiration","Departed_Program","Transfer","Quit","Injured","Dismissed","Jailed","Death","Last_Name","First_Name","City","State","Longitude","Latitude"
"332","FBALL","OKSTATE",2008,"Jeremy Palmoore","http://www.okstate.com/sports/m-footbl/spec-rel/081107aaz.html",NA,"AA","OL","Chatham, VA",78,320,6.5,"Hargrave Military Academy",13,"EDUCATION","Education",13.1314,"Physical Education Teaching and Coaching.","Physical Education","","",TRUE,TRUE,NA,NA,NA,NA,NA,"Palmoore","Jeremy","Chatham","VA",-79.3980806,36.8256943
"333","FBALL","OKSTATE",2008,"Jason Ricks","http://www.okstate.com/sports/m-footbl/spec-rel/081107aba.html",NA,"C","K","Austin, TX",74,200,6.167,"Westwood High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",NA,NA,NA,NA,NA,NA,NA,"Ricks","Jason","Austin","TX",-97.7430608,30.267153
"334","FBALL","OKSTATE",2008,"Seth Newton","http://www.okstate.com/sports/m-footbl/spec-rel/081107abb.html",NA,"MIX","WR","Girard, KS",75,195,6.25,"Girard High School",31,"PARKS.REC","Parks, Recreation, Leisure, and Fitness Studies",31.0504,"Sport and Fitness Administration/Management.","Sports Management","","",NA,NA,NA,NA,NA,NA,NA,"Newton","Seth","Girard","KS",-94.8380215,37.5111596
"335","FBALL","OKSTATE",2008,"Nathan Peterson","http://www.okstate.com/sports/m-footbl/spec-rel/081107abc.html",NA,"C","DE","Tulsa, OK",74,250,6.167,"Union High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.1401,"Marketing/Marketing Management, General.","Marketing","","",NA,NA,NA,NA,NA,NA,NA,"Peterson","Nathan","Tulsa","OK",-95.992775,36.1539816
"336","FBALL","OKSTATE",2010,"Quinton Prince","http://www.okstate.com/sports/m-footbl/spec-rel/081307aaa.html",NA,"AA","DL","Oklahoma City, OK",76,295,6.333,"Heritage Hall Schools",NA,NA,NA,NA,NA,"Undisclosed","","",NA,NA,NA,NA,NA,NA,NA,"Prince","Quinton","Oklahoma City","OK",-97.5164276,35.4675602
"337","FBALL","OKSTATE",2010,"Quencey Patrick","http://www.okstate.com/sports/m-footbl/spec-rel/081508aab.html",NA,"AA","DT","Columbus, GA",75,275,6.25,"Pacelli High School",11,"COMP.SCI","Computer and Information Sciences and Support Services",11.0701,"Computer Science.","Computer Science","","",TRUE,NA,NA,NA,TRUE,NA,NA,"Patrick","Quencey","Columbus","GA",-84.9877094,32.4609764
"338","FBALL","OKSTATE",2008,"Brandon Pettigrew","http://www.okstate.com/sports/m-footbl/spec-rel/081508aac.html",NA,"AA","TE","Tyler, TX",78,260,6.5,"Lee High School",45,"SOCIAL.SCIENCE","Social Sciences",45.0601,"Economics, General.","Economics","","",NA,NA,NA,NA,NA,NA,NA,"Pettigrew","Brandon","Tyler","TX",-95.3010624,32.3512601
"339","FBALL","OKSTATE",2008,"Seb Clements","http://www.okstate.com/sports/m-footbl/spec-rel/081508aae.html",NA,"C","LB","Sanger, TX",73,235,6.083,"Sanger High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.1101,"International Business/Trade/Commerce.","International Business","","",NA,NA,NA,NA,NA,NA,NA,"Clements","Seb","Sanger","TX",-97.1739027,33.3631705
"340","FBALL","OKSTATE",2009,"Jeremy Broadway","http://www.okstate.com/sports/m-footbl/spec-rel/081508aag.html",NA,"AA","WR","Houston, TX",73,195,6.083,"Washington B T High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",TRUE,TRUE,NA,NA,TRUE,NA,NA,"Broadway","Jeremy","Houston","TX",-95.3693896,29.7601927
"341","FBALL","OKSTATE",2009,"Ricky Price","http://www.okstate.com/sports/m-footbl/spec-rel/081508aai.html",NA,"AA","CB","Houston, TX",73,190,6.083,"Cypress Falls High School",45,"SOCIAL.SCIENCE","Social Sciences",45.0601,"Economics, General.","Economics","","",NA,NA,NA,NA,NA,NA,NA,"Price","Ricky","Houston","TX",-95.3693896,29.7601927
"342","FBALL","OKSTATE",2010,"Artrell Woods","http://www.okstate.com/sports/m-footbl/spec-rel/081508aaj.html",NA,"AA","WR","Bryan, TX",73,185,6.083,"Bryan High School",NA,NA,NA,NA,NA,"Undecided","","",TRUE,TRUE,NA,NA,NA,NA,NA,"Woods","Artrell","Bryan","TX",-96.3699632,30.6743643
"343","FBALL","OKSTATE",2009,"Andrew Lawrence","http://www.okstate.com/sports/m-footbl/spec-rel/081508aak.html",NA,"C","OL","Dallas, GA",76,305,6.333,"Paulding County High School",45,"SOCIAL.SCIENCE","Social Sciences",45.1001,"Political Science and Government, General.","Political Science","","",TRUE,NA,TRUE,NA,NA,NA,NA,"Lawrence","Andrew","Dallas","GA",-84.8407732,33.9237141
"344","FBALL","OKSTATE",2008,"David Washington","http://www.okstate.com/sports/m-footbl/spec-rel/081508aal.html",NA,"AA","C","Guthrie, OK",76,305,6.333,"Guthrie High School",45,"SOCIAL.SCIENCE","Social Sciences",45.1101,"Sociology.","Sociology","","",NA,NA,NA,NA,NA,NA,NA,"Washington","David","Guthrie","OK",-97.4253185,35.878937
"345","FBALL","OKSTATE",2009,"Jeray Chatham","http://www.okstate.com/sports/m-footbl/spec-rel/081508aan.html",NA,"AA","DL","Houston, TX",76,285,6.333,"Westfield High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Chatham","Jeray","Houston","TX",-95.3693896,29.7601927
"346","FBALL","OKSTATE",2010,"Trent Perkins","http://www.okstate.com/sports/m-footbl/spec-rel/081508aaq.html",NA,"C","OL","Alice, TX",77,300,6.417,"Alice High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",TRUE,TRUE,NA,NA,NA,NA,NA,"Perkins","Trent","Alice","TX",-98.0697249,27.7522487
